datetime,closed,co2,temperature,humidity
2023-11-01 18:30:08,,1292.0,23.1,47.66
2023-11-01 18:30:55,True,,,
2023-11-01 18:31:01,True,,,
2023-11-01 18:40:12,,1238.0,23.0,48.05
2023-11-01 18:50:18,,1283.0,23.0,48.05
2023-11-01 19:00:25,,1190.0,22.9,48.05
2023-11-01 19:00:55,True,,,
2023-11-01 19:01:01,True,,,
2023-11-01 19:10:31,,1215.0,22.9,48.05
2023-11-01 19:20:37,,1211.0,22.9,48.44
2023-11-01 19:30:44,,1175.0,22.8,48.44
2023-11-01 19:30:54,True,,,
2023-11-01 19:31:00,True,,,
2023-11-01 19:40:50,,1208.0,22.8,48.44
2023-11-01 19:50:57,,1165.0,22.8,48.83
2023-11-01 20:00:54,True,,,
2023-11-01 20:01:00,True,,,
2023-11-01 20:01:03,,1208.0,22.7,48.83
2023-11-01 20:11:09,,1236.0,22.8,48.83
2023-11-01 20:21:16,,1151.0,22.7,48.83
2023-11-01 20:30:54,True,,,
2023-11-01 20:31:00,True,,,
2023-11-01 20:31:22,,1164.0,22.7,48.83
2023-11-01 20:41:29,,1149.0,22.7,48.83
2023-11-01 20:51:35,,1158.0,22.7,49.22
2023-11-01 21:00:54,True,,,
2023-11-01 21:01:00,True,,,
2023-11-01 21:01:41,,1173.0,22.7,49.22
2023-11-01 21:11:48,,1144.0,22.7,49.22
2023-11-01 21:21:54,,1176.0,22.7,49.22
2023-11-01 21:30:54,True,,,
2023-11-01 21:31:00,True,,,
2023-11-01 21:32:01,,1142.0,22.7,49.22
2023-11-01 21:42:07,,1162.0,22.7,49.22
2023-11-01 21:52:14,,1124.0,22.7,49.22
2023-11-01 22:00:54,True,,,
2023-11-01 22:01:00,True,,,
2023-11-01 22:02:20,,1087.0,22.7,49.22
2023-11-01 22:12:26,,1068.0,22.7,49.22
2023-11-01 22:22:33,,1085.0,22.7,49.61
2023-11-01 22:30:54,True,,,
2023-11-01 22:31:00,True,,,
2023-11-01 22:32:38,,1089.0,22.7,49.22
2023-11-01 22:42:44,,1066.0,22.6,49.22
2023-11-01 22:52:51,,1110.0,22.7,49.22
2023-11-01 23:00:54,True,,,
2023-11-01 23:00:59,True,,,
2023-11-01 23:02:57,,1091.0,22.7,49.61
2023-11-01 23:13:04,,1089.0,22.7,49.61
2023-11-01 23:23:10,,1042.0,22.7,49.61
2023-11-01 23:30:53,True,,,
2023-11-01 23:30:59,True,,,
2023-11-01 23:33:16,,1084.0,22.6,49.61
2023-11-01 23:43:23,,1020.0,22.7,49.61
2023-11-01 23:53:25,,999.0,22.7,49.61
2023-11-02 00:00:53,True,,,
2023-11-02 00:00:59,True,,,
2023-11-02 00:03:28,,1041.0,22.7,49.61
2023-11-02 00:13:34,,996.0,22.6,49.61
2023-11-02 00:23:40,,1030.0,22.7,49.61
2023-11-02 00:30:53,True,,,
2023-11-02 00:30:59,True,,,
2023-11-02 00:33:15,,1030.0,22.7,49.61
2023-11-02 00:43:29,,1051.0,22.7,49.61
2023-11-02 00:53:49,,989.0,22.6,49.61
2023-11-02 01:00:53,True,,,
2023-11-02 01:00:59,True,,,
2023-11-02 01:04:09,,1002.0,22.6,49.61
2023-11-02 01:14:14,,1032.0,22.7,49.61
2023-11-02 01:24:20,,987.0,22.6,49.61
2023-11-02 01:30:53,True,,,
2023-11-02 01:30:59,True,,,
2023-11-02 01:34:26,,989.0,22.7,49.61
2023-11-02 01:44:33,,1022.0,22.6,49.61
2023-11-02 01:54:39,,924.0,22.7,49.61
2023-11-02 02:00:53,True,,,
2023-11-02 02:00:59,True,,,
2023-11-02 02:04:46,,1025.0,22.7,49.61
2023-11-02 02:14:52,,971.0,22.7,49.61
2023-11-02 02:24:58,,892.0,22.6,49.61
2023-11-02 02:30:53,True,,,
2023-11-02 02:30:59,True,,,
2023-11-02 02:35:04,,938.0,22.6,49.61
2023-11-02 02:45:10,,929.0,22.6,49.61
2023-11-02 02:55:16,,962.0,22.7,49.61
2023-11-02 03:00:52,True,,,
2023-11-02 03:00:58,True,,,
2023-11-02 03:05:23,,907.0,22.7,49.61
2023-11-02 03:15:29,,948.0,22.6,49.61
2023-11-02 03:25:36,,924.0,22.7,50.0
2023-11-02 03:30:52,True,,,
2023-11-02 03:30:58,True,,,
2023-11-02 03:35:42,,913.0,22.6,49.61
2023-11-02 03:45:48,,907.0,22.7,49.61
2023-11-02 03:55:55,,868.0,22.7,49.61
2023-11-02 04:00:52,True,,,
2023-11-02 04:00:58,True,,,
2023-11-02 04:06:01,,882.0,22.7,49.61
2023-11-02 04:16:08,,918.0,22.7,49.61
2023-11-02 04:26:14,,915.0,22.7,49.61
2023-11-02 04:30:52,True,,,
2023-11-02 04:30:58,True,,,
2023-11-02 04:36:20,,959.0,22.6,49.61
2023-11-02 04:46:27,,941.0,22.7,49.61
2023-11-02 04:56:33,,920.0,22.8,49.61
2023-11-02 05:00:52,True,,,
2023-11-02 05:00:58,True,,,
2023-11-02 05:06:40,,923.0,22.7,49.61
