datetime,motor_position,motor_range,trv_temperature,target_temperature,closed,co2,temperature,humidity
2023-11-01 02:12:46,580.0,580.0,26.1,6.0,,,,
2023-11-01 02:21:35,,,,,,1149.0,22.0,54.3
2023-11-01 02:22:46,580.0,580.0,26.1,6.0,,,,
2023-11-01 02:31:41,,,,,,1149.0,22.0,54.3
2023-11-01 02:32:47,580.0,580.0,26.1,6.0,,,,
2023-11-01 02:35:48,,,,,True,,,
2023-11-01 02:35:54,,,,,True,,,
2023-11-01 02:41:48,,,,,,1168.0,22.1,54.3
2023-11-01 02:42:48,580.0,580.0,26.1,6.0,,,,
2023-11-01 02:51:54,,,,,,1154.0,22.1,54.3
2023-11-01 02:52:49,580.0,580.0,26.1,6.0,,,,
2023-11-01 03:02:01,,,,,,1165.0,22.1,54.3
2023-11-01 03:02:50,580.0,580.0,26.1,6.0,,,,
2023-11-01 03:05:48,,,,,True,,,
2023-11-01 03:05:54,,,,,True,,,
2023-11-01 03:12:07,,,,,,1187.0,22.1,54.3
2023-11-01 03:12:51,580.0,580.0,26.1,6.0,,,,
2023-11-01 03:21:57,,,,,,1154.0,22.1,54.3
2023-11-01 03:22:52,580.0,580.0,26.1,6.0,,,,
2023-11-01 03:32:20,,,,,,1124.0,22.1,53.91
2023-11-01 03:32:53,580.0,580.0,26.1,6.0,,,,
2023-11-01 03:35:48,,,,,True,,,
2023-11-01 03:35:54,,,,,True,,,
2023-11-01 03:42:26,,,,,,1121.0,22.1,54.3
2023-11-01 03:42:54,580.0,580.0,26.1,6.0,,,,
2023-11-01 03:52:33,,,,,,1063.0,22.1,53.91
2023-11-01 03:52:55,580.0,580.0,26.1,6.0,,,,
2023-11-01 04:02:39,,,,,,1087.0,22.1,53.91
2023-11-01 04:02:56,580.0,580.0,26.1,6.0,,,,
2023-11-01 04:05:48,,,,,True,,,
2023-11-01 04:05:54,,,,,True,,,
2023-11-01 04:12:45,,,,,,1099.0,22.1,53.91
2023-11-01 04:12:57,580.0,580.0,26.1,6.0,,,,
2023-11-01 04:22:52,,,,,,1130.0,22.1,53.91
2023-11-01 04:22:58,580.0,580.0,26.1,6.0,,,,
2023-11-01 04:32:58,,,,,,1112.0,22.1,53.91
2023-11-01 04:32:59,580.0,580.0,26.1,6.0,,,,
2023-11-01 04:35:48,,,,,True,,,
2023-11-01 04:35:54,,,,,True,,,
2023-11-01 04:43:00,580.0,580.0,26.1,6.0,,,,
2023-11-01 04:43:05,,,,,,1109.0,22.1,53.91
2023-11-01 04:52:39,,,,,,1109.0,22.1,53.91
2023-11-01 04:53:00,580.0,580.0,26.1,6.0,,,,
2023-11-01 05:02:53,,,,,,1100.0,22.1,53.91
2023-11-01 05:03:01,580.0,580.0,26.1,6.0,,,,
2023-11-01 05:05:47,,,,,True,,,
2023-11-01 05:05:53,,,,,True,,,
2023-11-01 05:13:02,580.0,580.0,26.1,6.0,,,,
2023-11-01 05:13:13,,,,,,1088.0,22.1,53.91
2023-11-01 05:23:03,580.0,580.0,26.1,6.0,,,,
2023-11-01 05:23:34,,,,,,1039.0,22.1,53.91
2023-11-01 05:33:04,580.0,580.0,26.1,6.0,,,,
2023-11-01 05:33:38,,,,,,1078.0,22.1,53.91
2023-11-01 05:35:47,,,,,True,,,
2023-11-01 05:35:53,,,,,True,,,
2023-11-01 05:43:05,580.0,580.0,26.1,6.0,,,,
2023-11-01 05:43:44,,,,,,1022.0,22.1,53.91
2023-11-01 05:53:06,580.0,580.0,26.1,6.0,,,,
2023-11-01 05:53:51,,,,,,1066.0,22.1,53.91
2023-11-01 06:03:07,580.0,580.0,26.1,6.0,,,,
2023-11-01 06:03:57,,,,,,1039.0,22.1,53.91
2023-11-01 06:05:47,,,,,True,,,
2023-11-01 06:05:53,,,,,True,,,
2023-11-01 06:13:08,580.0,580.0,26.1,6.0,,,,
2023-11-01 06:14:03,,,,,,1041.0,22.1,53.52
2023-11-01 06:23:09,580.0,580.0,26.1,6.0,,,,
2023-11-01 06:24:09,,,,,,1053.0,22.1,53.52
2023-11-01 06:33:10,580.0,580.0,26.1,6.0,,,,
2023-11-01 06:34:15,,,,,,1034.0,22.1,53.52
2023-11-01 06:35:47,,,,,True,,,
2023-11-01 06:35:53,,,,,True,,,
2023-11-01 06:43:11,580.0,580.0,26.1,6.0,,,,
2023-11-01 06:44:21,,,,,,1027.0,22.1,53.52
2023-11-01 06:53:12,580.0,580.0,26.1,6.0,,,,
2023-11-01 06:54:12,,,,,,989.0,22.1,53.52
2023-11-01 07:03:13,580.0,580.0,26.1,6.0,,,,
2023-11-01 07:04:34,,,,,,1014.0,22.1,53.12
2023-11-01 07:05:47,,,,,True,,,
2023-11-01 07:05:53,,,,,True,,,
2023-11-01 07:13:13,580.0,580.0,26.1,6.0,,,,
2023-11-01 07:14:41,,,,,,963.0,22.1,53.12
2023-11-01 07:23:14,580.0,580.0,26.1,6.0,,,,
2023-11-01 07:24:31,,,,,,953.0,22.0,53.12
2023-11-01 07:33:15,580.0,580.0,26.1,6.0,,,,
2023-11-01 07:34:38,,,,,,994.0,22.0,53.12
2023-11-01 07:35:47,,,,,True,,,
2023-11-01 07:35:53,,,,,True,,,
2023-11-01 07:43:17,580.0,580.0,26.1,6.0,,,,
2023-11-01 07:45:00,,,,,,991.0,22.1,53.12
2023-11-01 07:47:23,,,,,False,,,
2023-11-01 07:50:45,,,,,True,,,
2023-11-01 07:53:17,580.0,580.0,26.1,6.0,,,,
2023-11-01 07:55:06,,,,,,861.0,22.1,51.56
2023-11-01 08:03:18,580.0,580.0,26.2,6.0,,,,
2023-11-01 08:04:53,,,,,,800.0,22.2,50.0
2023-11-01 08:05:46,,,,,True,,,
2023-11-01 08:05:52,,,,,True,,,
2023-11-01 08:13:19,580.0,580.0,26.4,6.0,,,,
2023-11-01 08:15:11,,,,,,823.0,22.2,50.0
2023-11-01 08:23:20,580.0,580.0,26.6,6.0,,,,
2023-11-01 08:25:13,,,,,,784.0,22.3,49.22
2023-11-01 08:33:21,580.0,580.0,26.6,6.0,,,,
2023-11-01 08:35:15,,,,,,922.0,22.4,50.78
2023-11-01 08:35:46,,,,,True,,,
2023-11-01 08:35:53,,,,,True,,,
2023-11-01 08:43:22,580.0,580.0,26.6,6.0,,,,
2023-11-01 08:45:17,,,,,,917.0,22.4,50.39
2023-11-01 08:53:23,580.0,580.0,26.6,6.0,,,,
2023-11-01 08:55:20,,,,,,947.0,22.4,49.61
2023-11-01 09:03:24,580.0,580.0,26.6,6.0,,,,
2023-11-01 09:05:26,,,,,,1003.0,22.5,50.0
2023-11-01 09:05:46,,,,,True,,,
2023-11-01 09:05:52,,,,,True,,,
2023-11-01 09:13:25,580.0,580.0,26.6,6.0,,,,
2023-11-01 09:15:29,,,,,,1015.0,22.5,50.39
2023-11-01 09:23:26,580.0,580.0,26.4,6.0,,,,
2023-11-01 09:25:31,,,,,,978.0,22.4,50.78
2023-11-01 09:33:27,580.0,580.0,26.4,6.0,,,,
2023-11-01 09:35:37,,,,,,969.0,22.4,51.17
2023-11-01 09:35:46,,,,,True,,,
2023-11-01 09:35:52,,,,,True,,,
2023-11-01 09:43:27,580.0,580.0,26.2,6.0,,,,
2023-11-01 09:45:44,,,,,,950.0,22.4,51.17
2023-11-01 09:53:28,580.0,580.0,26.2,6.0,,,,
2023-11-01 09:55:50,,,,,,932.0,22.4,51.17
2023-11-01 10:03:29,580.0,580.0,26.2,6.0,,,,
2023-11-01 10:05:46,,,,,True,,,
2023-11-01 10:05:52,,,,,True,,,
2023-11-01 10:05:57,,,,,,981.0,22.4,51.17
2023-11-01 10:13:30,580.0,580.0,26.2,6.0,,,,
2023-11-01 10:16:03,,,,,,943.0,22.4,51.17
2023-11-01 10:23:31,580.0,580.0,26.2,6.0,,,,
2023-11-01 10:26:10,,,,,,953.0,22.4,51.56
2023-11-01 10:33:32,580.0,580.0,26.2,6.0,,,,
2023-11-01 10:35:46,,,,,True,,,
2023-11-01 10:35:52,,,,,True,,,
2023-11-01 10:36:16,,,,,,974.0,22.4,51.56
2023-11-01 10:43:33,580.0,580.0,26.2,6.0,,,,
2023-11-01 10:46:22,,,,,,986.0,22.4,51.56
2023-11-01 10:53:34,580.0,580.0,26.2,6.0,,,,
2023-11-01 10:56:29,,,,,,991.0,22.4,51.17
2023-11-01 11:03:35,580.0,580.0,26.2,6.0,,,,
2023-11-01 11:05:46,,,,,True,,,
2023-11-01 11:05:52,,,,,True,,,
2023-11-01 11:06:35,,,,,,985.0,22.4,51.56
2023-11-01 11:13:36,580.0,580.0,26.4,6.0,,,,
2023-11-01 11:16:42,,,,,,1071.0,22.5,51.17
2023-11-01 11:23:37,580.0,580.0,26.6,6.0,,,,
2023-11-01 11:26:16,,,,,,1071.0,22.5,51.17
2023-11-01 11:33:38,580.0,580.0,26.6,6.0,,,,
2023-11-01 11:35:46,,,,,True,,,
2023-11-01 11:35:51,,,,,True,,,
2023-11-01 11:36:30,,,,,,1272.0,22.5,51.56
2023-11-01 11:43:39,580.0,580.0,26.8,6.0,,,,
2023-11-01 11:46:50,,,,,,1288.0,22.5,51.95
2023-11-01 11:53:40,580.0,580.0,26.8,6.0,,,,
2023-11-01 11:57:11,,,,,,1383.0,22.5,52.34
2023-11-01 12:03:41,580.0,580.0,26.8,6.0,,,,
2023-11-01 12:05:45,,,,,True,,,
2023-11-01 12:05:51,,,,,True,,,
2023-11-01 12:07:15,,,,,,1438.0,22.6,52.73
2023-11-01 12:13:41,580.0,580.0,26.6,6.0,,,,
2023-11-01 12:17:21,,,,,,1467.0,22.6,52.34
2023-11-01 12:23:42,580.0,580.0,26.4,6.0,,,,
2023-11-01 12:27:26,,,,,,1436.0,22.6,52.34
2023-11-01 12:33:43,580.0,580.0,26.4,6.0,,,,
2023-11-01 12:35:45,,,,,True,,,
2023-11-01 12:35:51,,,,,True,,,
2023-11-01 12:37:33,,,,,,1357.0,22.5,52.34
2023-11-01 12:43:44,580.0,580.0,26.4,6.0,,,,
2023-11-01 12:47:39,,,,,,1376.0,22.5,52.34
2023-11-01 12:53:45,580.0,580.0,26.4,6.0,,,,
2023-11-01 12:57:46,,,,,,1370.0,22.5,52.34
2023-11-01 13:03:46,580.0,580.0,26.2,6.0,,,,
2023-11-01 13:05:45,,,,,True,,,
2023-11-01 13:05:51,,,,,True,,,
2023-11-01 13:07:52,,,,,,1378.0,22.5,51.95
2023-11-01 13:12:40,,,,,False,,,
2023-11-01 13:13:47,580.0,580.0,26.2,6.0,,,,
2023-11-01 13:17:58,,,,,,1376.0,22.5,51.95
2023-11-01 13:19:00,,,,,True,,,
2023-11-01 13:23:48,580.0,580.0,25.5,6.0,,,,
2023-11-01 13:28:05,,,,,,1159.0,22.5,48.05
2023-11-01 13:33:49,580.0,580.0,25.9,6.0,,,,
2023-11-01 13:35:45,,,,,True,,,
2023-11-01 13:35:51,,,,,True,,,
2023-11-01 13:38:11,,,,,,1274.0,22.5,48.83
2023-11-01 13:43:50,580.0,580.0,26.1,6.0,,,,
2023-11-01 13:48:18,,,,,,1277.0,22.5,49.22
2023-11-01 13:53:51,580.0,580.0,26.1,6.0,,,,
2023-11-01 13:58:08,,,,,,1349.0,22.6,49.61
2023-11-01 14:03:52,580.0,580.0,26.1,6.0,,,,
2023-11-01 14:05:45,,,,,True,,,
2023-11-01 14:05:51,,,,,True,,,
2023-11-01 14:08:15,,,,,,1283.0,22.5,49.61
2023-11-01 14:13:53,580.0,580.0,26.1,6.0,,,,
2023-11-01 14:18:21,,,,,,1305.0,22.5,49.61
2023-11-01 14:23:54,580.0,580.0,26.1,6.0,,,,
2023-11-01 14:28:43,,,,,,1311.0,22.5,49.61
2023-11-01 14:33:55,580.0,580.0,26.1,6.0,,,,
2023-11-01 14:35:45,,,,,True,,,
2023-11-01 14:35:51,,,,,True,,,
2023-11-01 14:38:50,,,,,,1234.0,22.4,49.61
2023-11-01 14:43:56,580.0,580.0,26.1,6.0,,,,
2023-11-01 14:48:56,,,,,,1255.0,22.4,49.61
2023-11-01 14:53:56,580.0,580.0,26.1,6.0,,,,
2023-11-01 14:59:03,,,,,,1222.0,22.4,49.61
2023-11-01 15:03:57,580.0,580.0,26.1,6.0,,,,
2023-11-01 15:05:44,,,,,True,,,
2023-11-01 15:05:50,,,,,True,,,
2023-11-01 15:09:09,,,,,,1234.0,22.4,49.61
2023-11-01 15:13:58,580.0,580.0,26.1,6.0,,,,
2023-11-01 15:19:15,,,,,,1243.0,22.4,49.61
2023-11-01 15:23:59,580.0,580.0,26.1,6.0,,,,
2023-11-01 15:29:22,,,,,,1234.0,22.4,49.61
2023-11-01 15:34:00,580.0,580.0,26.1,6.0,,,,
2023-11-01 15:35:44,,,,,True,,,
2023-11-01 15:35:50,,,,,True,,,
2023-11-01 15:39:28,,,,,,1222.0,22.4,49.61
2023-11-01 15:44:01,580.0,580.0,26.1,6.0,,,,
2023-11-01 15:49:31,,,,,,1203.0,22.4,49.61
2023-11-01 15:54:02,580.0,580.0,26.1,6.0,,,,
2023-11-01 15:59:33,,,,,,1183.0,22.4,49.61
2023-11-01 16:04:03,580.0,580.0,26.1,6.0,,,,
2023-11-01 16:05:44,,,,,True,,,
2023-11-01 16:05:50,,,,,True,,,
2023-11-01 16:09:39,,,,,,1187.0,22.4,49.61
2023-11-01 16:14:04,580.0,580.0,26.1,6.0,,,,
2023-11-01 16:19:46,,,,,,1182.0,22.4,50.0
2023-11-01 16:24:05,580.0,580.0,26.1,6.0,,,,
2023-11-01 16:29:53,,,,,,1182.0,22.4,50.0
2023-11-01 16:34:06,580.0,580.0,26.1,6.0,,,,
2023-11-01 16:35:44,,,,,True,,,
2023-11-01 16:35:50,,,,,True,,,
2023-11-01 16:39:59,,,,,,1182.0,22.4,50.0
2023-11-01 16:44:07,580.0,580.0,26.1,6.0,,,,
2023-11-01 16:50:05,,,,,,1175.0,22.4,50.0
2023-11-01 16:54:08,580.0,580.0,26.1,6.0,,,,
2023-11-01 17:00:12,,,,,,1182.0,22.3,50.0
2023-11-01 17:04:09,580.0,580.0,26.1,6.0,,,,
2023-11-01 17:05:44,,,,,True,,,
2023-11-01 17:05:50,,,,,True,,,
2023-11-01 17:10:18,,,,,,1142.0,22.4,50.0
2023-11-01 17:14:09,580.0,580.0,26.1,6.0,,,,
2023-11-01 17:20:24,,,,,,1131.0,22.4,50.0
2023-11-01 17:24:10,580.0,580.0,26.1,6.0,,,,
2023-11-01 17:30:31,,,,,,1145.0,22.3,50.0
2023-11-01 17:34:11,580.0,580.0,26.1,6.0,,,,
2023-11-01 17:35:44,,,,,True,,,
2023-11-01 17:35:50,,,,,True,,,
2023-11-01 17:40:37,,,,,,1095.0,22.3,50.0
2023-11-01 17:44:12,580.0,580.0,26.1,6.0,,,,
2023-11-01 17:50:28,,,,,,1092.0,22.3,50.0
2023-11-01 17:54:13,580.0,580.0,26.1,6.0,,,,
2023-11-01 18:00:18,,,,,,1092.0,22.3,50.0
2023-11-01 18:04:14,580.0,580.0,26.1,6.0,,,,
2023-11-01 18:05:43,,,,,True,,,
2023-11-01 18:05:50,,,,,True,,,
2023-11-01 18:10:33,,,,,,1073.0,22.3,50.0
2023-11-01 18:14:15,580.0,580.0,26.1,6.0,,,,
2023-11-01 18:20:52,,,,,,1128.0,22.3,50.0
2023-11-01 18:24:16,580.0,580.0,26.1,6.0,,,,
2023-11-01 18:31:13,,,,,,1080.0,22.3,50.0
2023-11-01 18:34:17,580.0,580.0,26.1,6.0,,,,
2023-11-01 18:35:44,,,,,True,,,
2023-11-01 18:35:49,,,,,True,,,
2023-11-01 18:41:17,,,,,,1073.0,22.3,50.0
2023-11-01 18:44:18,580.0,580.0,26.1,6.0,,,,
2023-11-01 18:51:23,,,,,,1087.0,22.4,50.39
2023-11-01 18:54:19,580.0,580.0,26.1,6.0,,,,
2023-11-01 19:01:30,,,,,,1051.0,22.3,50.39
2023-11-01 19:04:20,580.0,580.0,26.1,6.0,,,,
2023-11-01 19:05:43,,,,,True,,,
2023-11-01 19:05:49,,,,,True,,,
2023-11-01 19:11:36,,,,,,1063.0,22.3,50.39
2023-11-01 19:14:21,580.0,580.0,26.1,6.0,,,,
2023-11-01 19:21:42,,,,,,1056.0,22.3,50.39
2023-11-01 19:24:22,580.0,580.0,26.1,6.0,,,,
2023-11-01 19:31:49,,,,,,1038.0,22.3,50.39
2023-11-01 19:34:23,580.0,580.0,26.1,6.0,,,,
2023-11-01 19:35:43,,,,,True,,,
2023-11-01 19:35:49,,,,,True,,,
2023-11-01 19:41:55,,,,,,1026.0,22.3,50.39
2023-11-01 19:44:23,580.0,580.0,26.1,6.0,,,,
2023-11-01 19:51:46,,,,,,1073.0,22.3,50.39
2023-11-01 19:54:24,580.0,580.0,26.1,6.0,,,,
2023-11-01 20:02:08,,,,,,1026.0,22.3,50.39
2023-11-01 20:04:25,580.0,580.0,26.1,6.0,,,,
2023-11-01 20:05:43,,,,,True,,,
2023-11-01 20:05:49,,,,,True,,,
2023-11-01 20:12:15,,,,,,1075.0,22.3,50.78
2023-11-01 20:14:26,580.0,580.0,25.9,6.0,,,,
2023-11-01 20:22:21,,,,,,1056.0,22.3,50.78
2023-11-01 20:24:27,580.0,580.0,25.9,6.0,,,,
2023-11-01 20:32:27,,,,,,1027.0,22.3,50.78
2023-11-01 20:34:28,580.0,580.0,25.9,6.0,,,,
2023-11-01 20:35:43,,,,,True,,,
2023-11-01 20:35:49,,,,,True,,,
2023-11-01 20:42:34,,,,,,1011.0,22.3,50.78
2023-11-01 20:44:29,580.0,580.0,25.7,6.0,,,,
2023-11-01 20:52:40,,,,,,1007.0,22.4,50.78
2023-11-01 20:54:30,580.0,580.0,25.7,6.0,,,,
2023-11-01 21:02:31,,,,,,1022.0,22.3,50.78
2023-11-01 21:04:31,580.0,580.0,25.5,6.0,,,,
2023-11-01 21:05:43,,,,,True,,,
2023-11-01 21:05:49,,,,,True,,,
2023-11-01 21:12:53,,,,,,1051.0,22.3,50.78
2023-11-01 21:14:32,580.0,580.0,25.5,6.0,,,,
2023-11-01 21:22:59,,,,,,1039.0,22.3,50.78
2023-11-01 21:24:33,580.0,580.0,25.5,6.0,,,,
2023-11-01 21:33:06,,,,,,1036.0,22.3,50.78
2023-11-01 21:34:34,580.0,580.0,25.4,6.0,,,,
2023-11-01 21:35:43,,,,,True,,,
2023-11-01 21:35:48,,,,,True,,,
2023-11-01 21:43:12,,,,,,1029.0,22.3,50.78
2023-11-01 21:44:35,580.0,580.0,25.4,6.0,,,,
2023-11-01 21:53:19,,,,,,1017.0,22.3,51.17
2023-11-01 21:54:36,580.0,580.0,25.4,6.0,,,,
2023-11-01 22:03:25,,,,,,999.0,22.3,51.17
2023-11-01 22:04:37,580.0,580.0,25.4,6.0,,,,
2023-11-01 22:05:43,,,,,True,,,
2023-11-01 22:05:48,,,,,True,,,
2023-11-01 22:13:31,,,,,,1036.0,22.3,51.17
2023-11-01 22:14:37,580.0,580.0,25.4,6.0,,,,
2023-11-01 22:23:34,,,,,,1021.0,22.3,51.17
2023-11-01 22:24:38,580.0,580.0,25.2,6.0,,,,
2023-11-01 22:33:40,,,,,,1029.0,22.3,51.17
2023-11-01 22:34:39,580.0,580.0,25.2,6.0,,,,
2023-11-01 22:35:42,,,,,True,,,
2023-11-01 22:35:48,,,,,True,,,
2023-11-01 22:43:47,,,,,,981.0,22.3,51.17
2023-11-01 22:44:40,580.0,580.0,25.2,6.0,,,,
2023-11-01 22:53:53,,,,,,1041.0,22.3,51.17
2023-11-01 22:54:41,580.0,580.0,25.2,6.0,,,,
2023-11-01 23:03:59,,,,,,974.0,22.3,51.17
2023-11-01 23:04:42,580.0,580.0,25.2,6.0,,,,
2023-11-01 23:05:42,,,,,True,,,
2023-11-01 23:05:48,,,,,True,,,
2023-11-01 23:14:06,,,,,,986.0,22.3,51.17
2023-11-01 23:14:43,580.0,580.0,25.2,6.0,,,,
2023-11-01 23:24:12,,,,,,986.0,22.3,51.17
2023-11-01 23:24:44,580.0,580.0,25.0,6.0,,,,
2023-11-01 23:34:18,,,,,,993.0,22.3,51.17
2023-11-01 23:34:45,580.0,580.0,25.0,6.0,,,,
2023-11-01 23:35:42,,,,,True,,,
2023-11-01 23:35:48,,,,,True,,,
2023-11-01 23:44:24,,,,,,974.0,22.3,51.17
2023-11-01 23:44:46,580.0,580.0,25.0,6.0,,,,
2023-11-01 23:54:30,,,,,,989.0,22.3,51.17
2023-11-01 23:54:47,580.0,580.0,24.8,6.0,,,,
2023-11-02 00:04:21,,,,,,1014.0,22.3,51.17
2023-11-02 00:04:48,580.0,580.0,24.8,6.0,,,,
2023-11-02 00:05:42,,,,,True,,,
2023-11-02 00:05:48,,,,,True,,,
2023-11-02 00:14:43,,,,,,981.0,22.3,51.17
2023-11-02 00:14:49,580.0,580.0,24.8,6.0,,,,
2023-11-02 00:24:50,580.0,580.0,24.8,6.0,,,,
2023-11-02 00:24:50,,,,,,960.0,22.3,51.17
2023-11-02 00:34:23,,,,,,960.0,22.3,51.17
2023-11-02 00:34:51,580.0,580.0,24.6,6.0,,,,
2023-11-02 00:35:42,,,,,True,,,
2023-11-02 00:35:48,,,,,True,,,
2023-11-02 00:44:37,,,,,,973.0,22.3,51.17
2023-11-02 00:44:51,580.0,580.0,24.6,6.0,,,,
2023-11-02 00:54:52,580.0,580.0,24.6,6.0,,,,
2023-11-02 00:54:57,,,,,,994.0,22.3,51.17
2023-11-02 01:04:53,580.0,580.0,24.6,6.0,,,,
2023-11-02 01:05:17,,,,,,983.0,22.3,51.17
2023-11-02 01:05:41,,,,,True,,,
2023-11-02 01:05:47,,,,,True,,,
2023-11-02 01:14:54,580.0,580.0,24.6,6.0,,,,
2023-11-02 01:15:22,,,,,,1002.0,22.3,51.17
2023-11-02 01:24:55,580.0,580.0,24.6,6.0,,,,
2023-11-02 01:25:28,,,,,,969.0,22.3,51.17
2023-11-02 01:34:56,580.0,580.0,24.6,6.0,,,,
2023-11-02 01:35:34,,,,,,958.0,22.3,51.17
2023-11-02 01:35:41,,,,,True,,,
2023-11-02 01:35:47,,,,,True,,,
2023-11-02 01:44:57,580.0,580.0,24.5,6.0,,,,
2023-11-02 01:45:41,,,,,,974.0,22.3,51.56
2023-11-02 01:54:58,580.0,580.0,24.5,6.0,,,,
2023-11-02 01:55:47,,,,,,960.0,22.3,51.56
2023-11-02 02:04:59,580.0,580.0,24.5,6.0,,,,
2023-11-02 02:05:41,,,,,True,,,
2023-11-02 02:05:47,,,,,True,,,
2023-11-02 02:05:54,,,,,,917.0,22.3,51.56
2023-11-02 02:15:00,580.0,580.0,24.5,6.0,,,,
2023-11-02 02:16:00,,,,,,950.0,22.3,51.56
2023-11-02 02:25:01,580.0,580.0,24.5,6.0,,,,
2023-11-02 02:26:06,,,,,,950.0,22.3,51.56
2023-11-02 02:35:02,580.0,580.0,24.5,6.0,,,,
2023-11-02 02:35:41,,,,,True,,,
2023-11-02 02:35:47,,,,,True,,,
2023-11-02 02:36:13,,,,,,981.0,22.3,51.56
2023-11-02 02:45:03,580.0,580.0,24.5,6.0,,,,
2023-11-02 02:46:19,,,,,,958.0,22.3,51.56
2023-11-02 02:55:04,580.0,580.0,24.6,6.0,,,,
2023-11-02 02:56:26,,,,,,948.0,22.3,51.56
2023-11-02 03:05:05,580.0,580.0,24.6,6.0,,,,
2023-11-02 03:05:41,,,,,True,,,
2023-11-02 03:05:47,,,,,True,,,
2023-11-02 03:06:32,,,,,,921.0,22.3,51.56
2023-11-02 03:15:05,580.0,580.0,24.6,6.0,,,,
2023-11-02 03:16:38,,,,,,926.0,22.3,51.56
2023-11-02 03:25:06,580.0,580.0,24.6,6.0,,,,
2023-11-02 03:26:45,,,,,,932.0,22.3,51.56
2023-11-02 03:35:07,580.0,580.0,24.6,6.0,,,,
2023-11-02 03:35:41,,,,,True,,,
2023-11-02 03:35:47,,,,,True,,,
2023-11-02 03:36:51,,,,,,916.0,22.3,51.56
2023-11-02 03:45:08,580.0,580.0,24.6,6.0,,,,
2023-11-02 03:46:42,,,,,,887.0,22.3,51.56
2023-11-02 03:55:09,580.0,580.0,24.6,6.0,,,,
2023-11-02 03:57:04,,,,,,906.0,22.3,51.56
2023-11-02 04:05:10,580.0,580.0,24.6,6.0,,,,
2023-11-02 04:05:41,,,,,True,,,
2023-11-02 04:05:47,,,,,True,,,
2023-11-02 04:07:11,,,,,,901.0,22.3,51.56
2023-11-02 04:15:11,580.0,580.0,24.8,6.0,,,,
2023-11-02 04:17:17,,,,,,888.0,22.3,51.56
2023-11-02 04:25:12,580.0,580.0,24.8,6.0,,,,
2023-11-02 04:27:23,,,,,,943.0,22.3,51.56
2023-11-02 04:35:13,580.0,580.0,24.8,6.0,,,,
2023-11-02 04:35:40,,,,,True,,,
2023-11-02 04:35:46,,,,,True,,,
2023-11-02 04:37:29,,,,,,950.0,22.3,51.56
2023-11-02 04:45:14,580.0,580.0,24.8,6.0,,,,
2023-11-02 04:47:35,,,,,,900.0,22.3,51.56
2023-11-02 04:55:15,580.0,580.0,24.8,6.0,,,,
2023-11-02 04:57:37,,,,,,888.0,22.3,51.56
2023-11-02 05:05:16,580.0,580.0,24.8,6.0,,,,
2023-11-02 05:05:40,,,,,True,,,
2023-11-02 05:05:46,,,,,True,,,
2023-11-02 05:07:40,,,,,,909.0,22.3,51.56
2023-11-02 05:15:17,580.0,580.0,24.8,6.0,,,,
2023-11-02 05:17:46,,,,,,882.0,22.3,51.56
2023-11-02 05:25:18,580.0,580.0,24.8,6.0,,,,
