order,k,from_idx,to_idx,prob
2,4,6,2,0.0
2,4,6,3,0.0
2,4,6,4,0.0
2,4,6,5,0.0
2,4,6,6,0.0
2,4,6,7,0.0
2,4,6,8,1.0741309230954954e-10
2,4,6,9,0.5243265628814697
2,4,6,10,8.772705478721221e-11
2,4,6,11,0.4756733477115631
2,4,6,12,0.0
2,4,6,13,0.0
2,4,6,14,0.0
2,4,6,15,0.0
2,4,7,0,0.0
2,4,7,1,0.0
2,4,7,2,0.0
2,4,7,3,0.0
2,4,7,4,0.0
2,4,7,5,0.0
2,4,7,6,0.0
2,4,7,7,0.0
2,4,7,8,0.0
2,4,7,9,0.0
2,4,7,10,0.0
2,4,7,11,0.0
2,4,7,12,6.408086283826719e-10
2,4,7,13,0.19681304693222046
2,4,7,14,8.072867672126449e-07
2,4,7,15,0.8031861782073975
2,4,8,0,0.15818990767002106
2,4,8,1,2.0059080264867024e-12
2,4,8,2,0.841803252696991
2,4,8,3,6.8626504798885435e-06
2,4,8,4,0.0
2,4,8,5,0.0
2,4,8,6,0.0
2,4,8,7,0.0
2,4,8,8,0.0
2,4,8,9,0.0
2,4,8,10,0.0
2,4,8,11,0.0
2,4,8,12,0.0
2,4,8,13,0.0
2,4,8,14,0.0
2,4,8,15,0.0
2,4,9,0,0.0
2,4,9,1,0.0
2,4,9,2,0.0
2,4,9,3,0.0
2,4,9,4,0.3295081853866577
2,4,9,5,0.529485821723938
2,4,9,6,0.14098623394966125
2,4,9,7,1.9704804799403064e-05
2,4,9,8,0.0
2,4,9,9,0.0
2,4,9,10,0.0
2,4,9,11,0.0
2,4,9,12,0.0
2,4,9,13,0.0
2,4,9,14,0.0
2,4,9,15,0.0
2,4,10,0,0.0
2,4,10,1,0.0
2,4,10,2,0.0
2,4,10,3,0.0
2,4,10,4,0.0
2,4,10,5,0.0
2,4,10,6,0.0
2,4,10,7,0.0
2,4,10,8,0.0007808051304891706
2,4,10,9,6.796790898988547e-07
2,4,10,10,0.35771358013153076
2,4,10,11,0.6415048837661743
2,4,10,12,0.0
2,4,10,13,0.0
2,4,10,14,0.0
2,4,10,15,0.0
2,4,11,0,0.0
2,4,11,1,0.0
2,4,11,2,0.0
2,4,11,3,0.0
2,4,11,4,0.0
2,4,11,5,0.0
2,4,11,6,0.0
2,4,11,7,0.0
2,4,11,8,0.0
2,4,11,9,0.0
2,4,11,10,0.0
2,4,11,11,0.0
2,4,11,12,0.04090820252895355
2,4,11,13,0.11577239632606506
2,4,11,14,0.8432221412658691
2,4,11,15,9.725940617499873e-05
2,4,12,0,0.06198785454034805
2,4,12,1,1.5766218192103665e-11
2,4,12,2,0.3651212453842163
2,4,12,3,0.5728908777236938
2,4,12,4,0.0
2,4,12,5,0.0
2,4,12,6,0.0
2,4,12,7,0.0
2,4,12,8,0.0
2,4,12,9,0.0
2,4,12,10,0.0
2,4,12,11,0.0
2,4,12,12,0.0
2,4,12,13,0.0
2,4,12,14,0.0
2,4,12,15,0.0
2,4,13,0,0.0
2,4,13,1,0.0
2,4,13,2,0.0
2,4,13,3,0.0
2,4,13,4,5.0531433259948244e-08
2,4,13,5,0.015365077182650566
2,4,13,6,0.36363524198532104
2,4,13,7,0.6209996342658997
2,4,13,8,0.0
2,4,13,9,0.0
2,4,13,10,0.0
2,4,13,11,0.0
2,4,13,12,0.0
2,4,13,13,0.0
2,4,13,14,0.0
2,4,13,15,0.0
2,4,14,0,0.0
2,4,14,1,0.0
2,4,14,2,0.0
2,4,14,3,0.0
2,4,14,4,0.0
2,4,14,5,0.0
2,4,14,6,0.0
2,4,14,7,0.0
2,4,14,8,0.174220472574234
2,4,14,9,0.2723401188850403
2,4,14,10,1.3511559926460137e-10
2,4,14,11,0.5534394383430481
2,4,14,12,0.0
2,4,14,13,0.0
2,4,14,14,0.0
2,4,14,15,0.0
2,4,15,0,0.0
2,4,15,1,0.0
2,4,15,2,0.0
2,4,15,3,0.0
2,4,15,4,0.0
2,4,15,5,0.0
2,4,15,6,0.0
2,4,15,7,0.0
2,4,15,8,0.0
2,4,15,9,0.0
2,4,15,10,0.0
2,4,15,11,0.0
2,4,15,12,2.4635426077584954e-12
2,4,15,13,0.1598706990480423
2,4,15,14,0.027211857959628105
2,4,15,15,0.8129174113273621
